V3C99_004352	Hcon5G00000007309.2
V3C99_004356	Hcon5G00000007313.2
V3C99_004359	Hcon5G00000007316.2
V3C99_004362	Hcon5G00000007319.2
V3C99_004362	Hcon5G00000007319.1
V3C99_004363	Hcon5G00000007320.1
V3C99_004366	Hcon5G00000007323.2
V3C99_004366	Hcon5G00000007323.1
V3C99_004370	Hcon5G00000007327.2
V3C99_004377	Hcon5G00000007334.1
V3C99_004378	Hcon5G00000007335.1
V3C99_004381	Hcon5G00000007338.1
V3C99_004381	Hcon5G00000007338.2
V3C99_004382	Hcon5G00000007339.1
V3C99_004382	Hcon5G00000007339.2
V3C99_004391	Hcon5G00000007348.1
V3C99_004392	Hcon5G00000007349.1
V3C99_004392	Hcon5G00000007349.2
V3C99_004394	Hcon5G00000007351.1
V3C99_004394	Hcon5G00000007351.2
V3C99_004396	Hcon5G00000007353.1
V3C99_004396	Hcon5G00000007353.2
V3C99_004398	Hcon5G00000007355.1
V3C99_004399	Hcon5G00000007356.1
V3C99_004399	Hcon5G00000007356.3
V3C99_004399	Hcon5G00000007356.2
V3C99_004403	Hcon5G00000007360.1
V3C99_004403	Hcon5G00000007360.3
V3C99_004403	Hcon5G00000007360.2
V3C99_004408	Hcon5G00000007365.2
V3C99_004408	Hcon5G00000007365.1
V3C99_004414	Hcon5G00000007371.1
V3C99_004414	Hcon5G00000007371.2
V3C99_004415	Hcon5G00000007372.2
V3C99_004415	Hcon5G00000007372.3
V3C99_004415	Hcon5G00000007372.1
V3C99_004417	Hcon5G00000007374.1
V3C99_004424	Hcon5G00000007381.1
V3C99_004424	Hcon5G00000007381.2
V3C99_004424	Hcon5G00000007381.3
V3C99_004425	Hcon5G00000007382.1
V3C99_004428	Hcon5G00000007385.1
V3C99_004428	Hcon5G00000007385.2
V3C99_004428	Hcon5G00000007385.3
V3C99_004430	Hcon5G00000007387.1
V3C99_004435	Hcon5G00000007392.1
V3C99_004435	Hcon5G00000007392.2
V3C99_004436	Hcon5G00000007393.1
V3C99_004436	Hcon5G00000007393.2
V3C99_004441	Hcon5G00000007398.1
V3C99_004443	Hcon5G00000007400.1
V3C99_004448	Hcon5G00000007405.2
V3C99_004448	Hcon5G00000007405.1
V3C99_004450	Hcon5G00000007407.2
V3C99_004450	Hcon5G00000007407.1
V3C99_004451	Hcon5G00000007408.3
V3C99_004451	Hcon5G00000007408.4
V3C99_004451	Hcon5G00000007408.2
V3C99_004451	Hcon5G00000007408.1
V3C99_004452	Hcon5G00000007409.1
V3C99_004460	Hcon5G00000007417.1
V3C99_004466	Hcon5G00000007423.1
V3C99_004471	Hcon5G00000007428.1
V3C99_004471	Hcon5G00000007428.2
V3C99_004472	Hcon5G00000007429.1
V3C99_004472	Hcon5G00000007429.2
V3C99_004479	Hcon5G00000007436.1
V3C99_004485	Hcon5G00000007442.3
V3C99_004485	Hcon5G00000007442.2
V3C99_004485	Hcon5G00000007442.4
V3C99_004485	Hcon5G00000007442.5
V3C99_004485	Hcon5G00000007442.1
V3C99_004487	Hcon5G00000007444.2
V3C99_004487	Hcon5G00000007444.1
V3C99_004488	Hcon5G00000007445.1
V3C99_004488	Hcon5G00000007445.2
V3C99_004492	Hcon5G00000007449.1
V3C99_004492	Hcon5G00000007449.2
V3C99_004494	Hcon5G00000007451.2
V3C99_004494	Hcon5G00000007451.1
V3C99_004497	Hcon5G00000007454.1
V3C99_004498	Hcon5G00000007455.1
V3C99_004499	Hcon5G00000007456.1
V3C99_004499	Hcon5G00000007456.2
V3C99_004499	Hcon5G00000007456.3
V3C99_004500	Hcon5G00000007457.2
V3C99_004508	Hcon5G00000007465.1
V3C99_004511	Hcon5G00000007468.1
V3C99_004517	Hcon5G00000007474.1
V3C99_004518	Hcon5G00000007475.1
V3C99_004519	Hcon5G00000007476.1
V3C99_004536	Hcon5G00000007493.2
V3C99_004536	Hcon5G00000007493.1
V3C99_004536	Hcon5G00000007493.3
V3C99_004537	Hcon5G00000007494.1
V3C99_004543	Hcon5G00000007500.1
V3C99_004544	Hcon5G00000007501.1
V3C99_004548	Hcon5G00000007505.2
V3C99_004548	Hcon5G00000007505.4
V3C99_004548	Hcon5G00000007505.3
V3C99_004548	Hcon5G00000007505.5
V3C99_004548	Hcon5G00000007505.1
V3C99_004548	Hcon5G00000007505.6
V3C99_004549	Hcon5G00000007506.2
V3C99_004553	Hcon5G00000007510.3
V3C99_004553	Hcon5G00000007510.2
V3C99_004553	Hcon5G00000007510.4
V3C99_004553	Hcon5G00000007510.1
V3C99_004562	Hcon5G00000007519.2
V3C99_004562	Hcon5G00000007519.1
V3C99_004563	Hcon5G00000007520.1
V3C99_004564	Hcon5G00000007521.2
V3C99_004566	Hcon5G00000007523.1
V3C99_004566	Hcon5G00000007523.2
V3C99_004570	Hcon5G00000007527.1
V3C99_004570	Hcon5G00000007527.2
V3C99_004576	Hcon5G00000007533.1
V3C99_004576	Hcon5G00000007533.2
V3C99_004580	Hcon5G00000007537.2
V3C99_004582	Hcon5G00000007539.1
V3C99_004594	Hcon5G00000007551.1
V3C99_004594	Hcon5G00000007551.2
V3C99_004597	Hcon5G00000007554.1
V3C99_004598	Hcon5G00000007555.5
V3C99_004615	Hcon5G00000007572.1
V3C99_004618	Hcon5G00000007575.1
V3C99_004620	Hcon5G00000007577.2
V3C99_004628	Hcon5G00000007585.2
V3C99_004648	Hcon5G00000007605.1
